gpu_id,power_watts_mean,power_watts_var,pct_time_burst_unstable,pct_time_sustained_high-load_anomaly,pct_time_spike_event,pct_time_erratic_fluctuation,pct_time_high_load,pct_time_idle_low_load,gpu_classification
dgxanode01_00000000:07:00.0,85.29703500405286,10.355584111523198,99.52703606645103,0.0,0.421417947446703,0.05154598610225779,0.0,0.0,Stable
dgxanode01_00000000:0F:00.0,86.96223150836934,19.95258444669179,99.73951570381912,0.0031478464795271937,0.226251465716017,0.031084983985331036,0.0,0.0,Stable
dgxanode01_00000000:47:00.0,147.08923220089557,4341.962059734852,71.99242942921674,3.364654405804629,20.796247766996405,3.4366613940238135,0.40489175342918526,0.00511525052923169,Unstable / Spiky
dgxanode01_00000000:4E:00.0,89.49681925852477,0.13347057741862028,100.0,0.0,0.0,0.0,0.0,0.0,Stable
dgxanode01_00000000:87:00.0,86.22999047776439,21.2818231469018,99.67813269746834,0.0,0.26166473861069794,0.05862864068119398,0.0015739232397635969,0.0,Stable
dgxanode01_00000000:90:00.0,89.96476151128108,508.1310899040122,98.51893823138246,0.0,1.1367660599192577,0.2876344720667973,0.05666123663148948,0.0,Stable
dgxanode01_00000000:B7:00.0,91.1717189602663,101.97597052681584,99.95829103414626,0.0003934808099408992,0.020854482926867656,0.02046100211692676,0.0,0.0,Stable
dgxanode01_00000000:BD:00.0,89.40295189303617,212.80706605817218,97.6005540209804,0.10742026111386546,1.9563865870261508,0.3320978035901189,0.0031478464795271937,0.0003934808099408992,Stable
dgxanode02_00000000:07:00.0,118.69755333504942,1709.1711459056205,66.3004391609919,0.3798781581759608,24.07039056466899,9.12370611315221,0.12558600301094391,0.0,Unstable / Spiky
dgxanode02_00000000:0F:00.0,110.9409845630621,9574.770735973634,71.70570753282007,3.5788110671690103,19.858579240087675,3.0335650044072104,0.0007800372857822604,1.8225571182302513,Unstable / Spiky
dgxanode02_00000000:47:00.0,140.3052344792081,16606.004844047777,75.79973322724827,11.840575979531822,12.083947612695887,0.26053245345127496,0.0,0.015210727072754077,Unstable / Spiky
dgxanode02_00000000:4E:00.0,64.48970339082209,23.283521477797738,100.0,0.0,0.0,0.0,0.0,0.0,Stable
dgxanode02_00000000:87:00.0,87.79430666385853,2814.7825648189423,91.75461587063862,1.6435385611432227,5.540604840911396,1.0261390494465636,0.008970428786495994,0.026131249073705724,Unstable / Spiky
dgxanode02_00000000:90:00.0,87.68906165414707,2727.596547206639,93.06390845482414,1.767174470939711,4.238722610940803,0.9013330837214019,0.008580410143604864,0.02028096943033877,Stable
dgxanode02_00000000:B7:00.0,87.52522145258544,2061.077341595198,93.7643819374566,1.5745052613514925,3.5351289791652043,1.1189634864546525,0.003900186428911302,0.0031201491431290416,Stable
dgxanode02_00000000:BD:00.0,61.583469761854616,16.386909898170053,100.0,0.0,0.0,0.0,0.0,0.0,Stable
dgxhnode2_00000000:1B:00.0,104.59081632020938,0.09912224828496281,100.0,0.0,0.0,0.0,0.0,0.0,Stable
dgxhnode2_00000000:43:00.0,75.30522473584972,653.561942231619,95.92149635474541,0.03136119188016153,3.874849485637736,0.17190579252829283,0.0003871752083970559,0.0,Stable
dgxhnode2_00000000:52:00.0,72.3910699586884,1663.354773383985,98.3970946372362,0.5470785694650401,0.9214769959849931,0.10995775918476389,0.024392038129014523,0.0,Stable
dgxhnode2_00000000:61:00.0,131.15757078530748,18155.173836352034,80.07093049817834,5.818469031790956,9.975569244350146,0.8800492486865081,3.2549819769940496,0.0,Unstable / Spiky
dgxhnode2_00000000:9D:00.0,89.03311753477801,6986.161567494117,93.32664810806834,2.187539927443366,4.053724431917175,0.29580185921535074,0.1362856733557637,0.0,Stable
dgxhnode2_00000000:C3:00.0,123.85148752715067,5687.763112353576,95.29736991880937,1.6520766142302377,0.8804364238949052,0.30354536338329186,1.8665716796822065,0.0,Stable
dgxhnode2_00000000:D1:00.0,110.60538882070303,207.97425689475676,99.76653334933657,0.14906245523286654,0.061173682926734835,0.023230512503823353,0.0,0.0,Stable
dgxhnode2_00000000:DF:00.0,111.38587093127252,209.23209428106261,99.76653334933657,0.14944963044126358,0.06156085813513189,0.022456162087029243,0.0,0.0,Stable
dgxhnode3_00000000:1B:00.0,188.05484480971478,1924.5843442752243,85.57147682142345,1.8432607235613598,9.026853063236887,1.0858467236312392,2.4725626681470727,0.0,Unstable / Spiky
dgxhnode3_00000000:43:00.0,112.81083218485404,378.1711641518214,98.82913345782201,0.8470924386712063,0.2783525566119408,0.04503332854530702,0.0003882183495285088,0.0,Stable
dgxhnode3_00000000:52:00.0,137.63740549794827,5444.468080484086,86.7935881857392,8.400268647097873,4.31388229996079,0.4072410486554058,0.08501981854674343,0.0,Unstable / Spiky
dgxhnode3_00000000:61:00.0,118.87891850132189,4402.6703275463815,86.2640583569823,0.7768249174065461,10.34330148648806,2.130154083862928,0.4856611552601645,0.0,Unstable / Spiky
dgxhnode3_00000000:9D:00.0,95.82329030579959,385.42546560658866,99.98408304766933,0.0,0.0131994238839693,0.0027175284466995618,0.0,0.0,Stable
dgxhnode3_00000000:C3:00.0,152.70489376404865,2139.3990733136557,87.04864764137942,2.9873401996218756,9.130119144211472,0.4899315571049781,0.34396145768225883,0.0,Unstable / Spiky
dgxhnode3_00000000:D1:00.0,116.02130825701607,36.042705505076,99.37186271046288,0.00970545873821272,0.5345766673007566,0.08269050844957238,0.0011646550485855263,0.0,Stable
dgxhnode3_00000000:DF:00.0,108.5510056835387,0.0981553047640871,100.0,0.0,0.0,0.0,0.0,0.0,Stable
