cluster,avg_power,power_var,avg_delta,point_count,behavior_type
0,94.58985651595283,1045.555192105015,-0.02018878781380319,7610184,Burst/Unstable
1,177.59905870445343,28.764627612852426,-22.778557692307693,3952,High Load
2,502.09408002038737,24.54058383351376,7.727673292558613,3924,High Load
3,492.1197361773786,40.575239846178725,-3.294708111142296,7126,High Load
4,236.1089806451613,33.07780020831718,-16.767277419354837,2325,High Load
5,257.90670848540145,35.289190235784886,12.605109489051095,4384,High Load
6,84.4429899031527,4.058568985264941,-0.07270554296311559,4853,Idle/Low Load
7,495.0434411500449,28.45282365878229,3.085040431266846,2226,High Load
