,Burst/Unstable,Erratic Fluctuation,High Load,Idle/Low Load,Spike Event,Sustained High-Load Anomaly
Non-Peak,93.55175248401424,0.7317147216641063,0.22497397276058814,0.0619085166226296,4.133714344946338,1.2959359599921032
Peak,90.36861339830344,0.9933577563977166,0.4678913766427771,0.051661894684426744,5.879541534029272,2.2389340399423805
