hostname,pci_bus_id,mean,variance,std_dev
dgxanode01,NODE_TOTAL,86709.49561514196,54902467.3362436,7409.619918473794
dgxanode02,NODE_TOTAL,92538.7877484227,197542005.68669042,14054.963738362701
dgxanode03,NODE_TOTAL,96813.53219242902,491104951.0633763,22160.88786721724
dgxanode04,NODE_TOTAL,74872.66508280758,240219878.18858016,15499.02829820567
dgxhnode1,NODE_TOTAL,97483.04340446168,28937733.70307734,5379.38041999981
dgxhnode2,NODE_TOTAL,90443.19651025237,40733212.9667398,6382.257670036505
dgxhnode3,NODE_TOTAL,110756.48718059938,105805249.58604592,10286.167876621785
dgxhnode4,NODE_TOTAL,123355.86976735016,214599163.6558355,14649.203516090405
dgxhnode5,NODE_TOTAL,83711.88416289592,152266516.6514198,12339.63194959314
dgxhnode6,NODE_TOTAL,68381.7330316742,89563352.914432,9463.791677463743
dgxanode01, 00000000:07:00.0,84.17437641709566,0.5233930112200991,0.7234590598092604
dgxanode01, 00000000:0F:00.0,86.36359444697736,24.221607313445926,4.921545216031843
dgxanode01, 00000000:47:00.0,108.6990523856843,964.1601608446897,31.050928502134838
dgxanode01, 00000000:4E:00.0,88.44891255701671,13.185518222863745,3.6311868890025125
dgxanode01, 00000000:87:00.0,105.74299279244875,1240.0984888517169,35.21503214327252
dgxanode01, 00000000:90:00.0,86.68214049022207,32.192010084002945,5.673800321125422
dgxanode01, 00000000:B7:00.0,87.49031605699938,10.085006762101836,3.1756899663068237
dgxanode01, 00000000:BD:00.0,87.71052248516023,105.15535729907612,10.254528623933727
dgxanode02, 00000000:07:00.0,197.08308413469945,4405.07397670679,66.37073132568896
dgxanode02, 00000000:0F:00.0,80.52256768435291,212.14842069623435,14.56531567444504
dgxanode02, 00000000:47:00.0,67.18817245394031,0.4401373800662526,0.6634285041104675
dgxanode02, 00000000:4E:00.0,84.20012528039834,3169.969591305515,56.30248299414081
dgxanode02, 00000000:87:00.0,80.56199931151762,583.9491932217654,24.16504072460391
dgxanode02, 00000000:90:00.0,87.5726035712859,1491.5873865181188,38.621074383270575
dgxanode02, 00000000:B7:00.0,115.9423696879972,3093.193760404168,55.61648820632392
dgxanode02, 00000000:BD:00.0,72.19107645723236,0.3738717703034296,0.6114505460815532
dgxanode03, 00000000:07:00.0,200.76056425427225,5538.252248694825,74.41943461687158
dgxanode03, 00000000:0F:00.0,112.41239045814608,5508.974140903952,74.22246385632823
dgxanode03, 00000000:47:00.0,126.04988640949394,6936.835873121975,83.28766939422651
dgxanode03, 00000000:4E:00.0,74.31133660823241,299.2477099311574,17.298777700495414
dgxanode03, 00000000:87:00.0,78.91522518490089,332.12658973905326,18.224340584478036
dgxanode03, 00000000:90:00.0,72.11678270638298,167.87190890067833,12.956539233170188
dgxanode03, 00000000:B7:00.0,74.85245227717772,91.9799113092139,9.590615794056912
dgxanode03, 00000000:BD:00.0,73.24044630639497,84.41326433926106,9.187669146157859
dgxanode04, 00000000:07:00.0,85.87231437573861,2423.843284617252,49.23254294282646
dgxanode04, 00000000:0F:00.0,62.86816935318405,0.2214308063315108,0.4705643487680625
dgxanode04, 00000000:47:00.0,72.9703894955227,0.31657228352513833,0.5626475659994792
dgxanode04, 00000000:4E:00.0,86.87397878840379,588.84085110188,24.266043169455543
dgxanode04, 00000000:87:00.0,97.17581881665392,3326.68432170353,57.67741604565456
dgxanode04, 00000000:90:00.0,95.10386028214997,3026.3420153216102,55.012198786465625
dgxanode04, 00000000:B7:00.0,67.13246053135994,0.2945961460141232,0.5427671195034969
dgxanode04, 00000000:BD:00.0,66.29001191923085,0.5244211205587955,0.7241692623681258
dgxhnode1, 00000000:1B:00.0,111.2658090681236,97.84124942533114,9.891473571987701
dgxhnode1, 00000000:43:00.0,102.2178354357831,8.182752512624166,2.8605510854770912
dgxhnode1, 00000000:52:00.0,65.89396326884977,0.4070839075601644,0.6380312747508263
dgxhnode1, 00000000:61:00.0,107.2553963318433,1.6966914046574113,1.3025710747047208
dgxhnode1, 00000000:9D:00.0,105.93890605852614,87.76369935704913,9.368228186644961
dgxhnode1, 00000000:C3:00.0,112.35220096986806,86.32176319562241,9.29095060774851
dgxhnode1, 00000000:D1:00.0,103.34789781474262,252.14400612153344,15.87904298506473
