cluster,avg_power,power_var,avg_delta,point_count,pct_of_total,behavior_label
0,95.29561191107584,1124.714604233582,-0.02246083183407859,7669366,93.40056456601134,Burst/Unstable
1,129.4693005828476,62.222702294483256,22.194592601403592,8407,0.10238376240049796,Moderate Load
2,84.87423544349718,13.683448657909006,-0.09125340105205877,5513,0.06713948877292081,Idle/Low Load
3,495.88463342061414,68.0992557544423,1.1641335396334205,16804,0.20464574085618742,High Load
4,86.71268035516093,27.590845504655107,-0.09622641509433984,1802,0.021945466854489986,Idle/Low Load
5,135.78152535211268,57.467862653956416,14.10851971830986,7100,0.08646660081402824,Moderate Load
6,107.8707178091512,57.53963888581917,-24.905550263650284,5879,0.07159678115291156,Moderate Load
7,158.03726017614855,41.16322122967348,23.719302547012614,4201,0.051161435214046855,High Load
