gpu_id,power_watts_mean,power_watts_var,behavior_label,pct_time_burst_unstable,pct_time_sustained_high-load_anomaly,pct_time_spike_event,pct_time_moderate_load,pct_time_erratic_fluctuation,pct_time_high_load,pct_time_idle_low_load,gpu_classification
dgxanode01_00000000:07:00.0,85.29703500405286,10.355584111523198,"{'Burst/Unstable': 0.9955143187666737, 'Spike Event': 0.004151222544876486, 'Erratic Fluctuation': 0.0003226542641515373, 'Moderate Load': 1.1804424298226976e-05}",99.55143187666738,0.0,0.4151222544876486,0.0011804424298226977,0.03226542641515373,0.0,0.0,Stable
dgxanode01_00000000:0F:00.0,86.96223150836934,19.95258444669179,"{'Burst/Unstable': 0.9975013968568753, 'Spike Event': 0.0022349710004643075, 'Erratic Fluctuation': 0.00016919674827458665, 'Moderate Load': 6.295692959054388e-05, 'Sustained High-Load Anomaly': 3.147846479527194e-05}",99.75013968568753,0.0031478464795271937,0.22349710004643075,0.006295692959054387,0.016919674827458663,0.0,0.0,Stable
dgxanode01_00000000:47:00.0,147.08923220089557,4341.962059734852,"{'Burst/Unstable': 0.7569390340833078, 'Spike Event': 0.19443854223229534, 'Sustained High-Load Anomaly': 0.024923074501656553, 'Erratic Fluctuation': 0.011953947006004518, 'Moderate Load': 0.008727404364489143, 'High Load': 0.0028881491449662, 'Idle/Low Load': 0.00012984866728049673}",75.69390340833078,2.4923074501656552,19.443854223229533,0.8727404364489143,1.1953947006004517,0.28881491449662,0.012984866728049674,Unstable / Spiky
dgxanode01_00000000:4E:00.0,89.49681925852477,0.13347057741862028,{'Burst/Unstable': 1.0},100.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable
dgxanode01_00000000:87:00.0,86.22999047776439,21.2818231469018,"{'Burst/Unstable': 0.9970567635416421, 'Spike Event': 0.00241990698113653, 'Moderate Load': 0.00026756695075981144, 'Erratic Fluctuation': 0.00024789291026276647, 'High Load': 7.869616198817984e-06}",99.70567635416421,0.0,0.241990698113653,0.026756695075981142,0.024789291026276646,0.0007869616198817984,0.0,Stable
dgxanode01_00000000:90:00.0,89.96476151128108,508.1310899040122,"{'Burst/Unstable': 0.9871567863635291, 'Spike Event': 0.010698743222293049, 'Erratic Fluctuation': 0.001975273665903314, 'High Load': 0.00016526194017517766, 'Moderate Load': 3.934808099408992e-06}",98.7156786363529,0.0,1.0698743222293048,0.0003934808099408992,0.19752736659033138,0.016526194017517766,0.0,Stable
dgxanode01_00000000:B7:00.0,91.1717189602663,101.97597052681584,"{'Burst/Unstable': 0.999606519190059, 'Spike Event': 0.00020461002116926757, 'Erratic Fluctuation': 0.00012591385918108775, 'Idle/Low Load': 5.902212149113488e-05, 'Sustained High-Load Anomaly': 3.934808099408992e-06}",99.96065191900591,0.0003934808099408992,0.02046100211692676,0.0,0.012591385918108775,0.0,0.005902212149113488,Stable
dgxanode01_00000000:BD:00.0,89.40295189303617,212.80706605817218,"{'Burst/Unstable': 0.9772017218720243, 'Spike Event': 0.019386799505788102, 'Erratic Fluctuation': 0.0021247963736808558, 'Sustained High-Load Anomaly': 0.0009246799033611131, 'Idle/Low Load': 0.0003423283046485823, 'High Load': 1.1804424298226976e-05, 'Moderate Load': 7.869616198817984e-06}",97.72017218720242,0.0924679903361113,1.9386799505788102,0.0007869616198817984,0.2124796373680856,0.0011804424298226977,0.03423283046485823,Stable
dgxanode02_00000000:07:00.0,118.69755333504942,1709.1711459056205,"{'Burst/Unstable': 0.7128838758492656, 'Spike Event': 0.20960381906255118, 'Moderate Load': 0.04763687704272264, 'Erratic Fluctuation': 0.019906551533163286, 'High Load': 0.006848727369168246, 'Sustained High-Load Anomaly': 0.0029914429909749687, 'Idle/Low Load': 0.00012870615215407298}",71.28838758492655,0.29914429909749685,20.96038190625512,4.763687704272264,1.9906551533163286,0.6848727369168246,0.012870615215407298,Unstable / Spiky
dgxanode02_00000000:0F:00.0,110.9409845630621,9574.770735973634,"{'Burst/Unstable': 0.7205399418092184, 'Spike Event': 0.19814507133440978, 'Sustained High-Load Anomaly': 0.03555019929952652, 'Idle/Low Load': 0.02509769967004423, 'Erratic Fluctuation': 0.02057738359893603, 'Moderate Load': 8.580410143604864e-05, 'High Load': 3.900186428911302e-06}",72.05399418092185,3.555019929952652,19.81450713344098,0.008580410143604864,2.057738359893603,0.0003900186428911302,2.509769967004423,Unstable / Spiky
