metric,full_dataset,peak_subset
inertia,246522.62382950375,62675.78920857035
silhouette,0.3288008086573438,0.3341583050376982
avg_cluster_dist,1.2399523005011075,1.2355497173273335
n_rows,162048.0,41632.0
