cluster,size,avg_dist,max_dist,std_dist,mean_power_W,tightness
0,3543,1.4585817191893182,4.069802692639979,0.49555913080992836,237.89981339502495,Spread
1,18089,1.1019020568999038,2.4868576903998627,0.39660446143514827,87.3707956037819,Tight
2,20000,1.146165375892779,2.3039731433378323,0.3990894998933898,90.34852886136088,Spread
