hostname,pci_bus_id,timestamp,power_watts,day_num,hour,encoded_pci_bus_id,global_cluster,global_cluster_label,node_cluster,node_cluster_label,gpu_cluster,gpu_cluster_label
dgxanode02, 00000000:07:00.0,2026-02-08 18:45:00,238.5588983050847,7,18,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 18:50:00,243.63805084745763,7,18,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 18:55:00,239.42362068965517,7,18,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:00:00,256.83313559322033,7,19,0,0,High spike cluster,0,Low usage / idle cluster,1,High spike cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:05:00,231.27542372881356,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:10:00,240.48491379310343,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:15:00,243.0495762711864,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:20:00,250.85646551724136,7,19,0,0,High spike cluster,0,Low usage / idle cluster,1,High spike cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:25:00,230.43372881355933,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:30:00,230.5287931034483,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:35:00,243.92870689655172,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:40:00,241.13805084745763,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:45:00,249.93974137931036,7,19,0,0,High spike cluster,0,Low usage / idle cluster,1,High spike cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:50:00,246.70516949152545,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 19:55:00,215.9701212121212,7,19,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:00:00,235.18457627118644,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:05:00,237.5861206896552,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:10:00,238.90245762711865,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:15:00,224.7488793103448,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:20:00,237.39258620689657,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:25:00,240.0207627118644,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:30:00,247.93741379310347,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:35:00,229.96449152542377,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:40:00,237.9771186440678,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:45:00,239.92991452991453,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:50:00,236.69111111111113,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 20:55:00,238.90336206896552,7,20,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:00:00,237.46177966101692,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:05:00,234.3882905982906,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:10:00,241.8705982905983,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:15:00,240.9181896551724,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:20:00,233.55177966101695,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:25:00,232.2522033898305,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:30:00,234.3698275862069,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:35:00,242.4963247863248,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:40:00,233.18188034188032,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:45:00,231.2900847457627,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:50:00,241.9438793103448,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 21:55:00,230.36525862068964,7,21,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:00:00,229.6816101694915,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:05:00,250.475,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:10:00,219.59974576271188,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:15:00,229.0021186440678,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:20:00,238.05101694915257,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:25:00,240.89948275862068,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:30:00,240.49457627118645,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:35:00,243.1677118644068,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:40:00,235.01222222222225,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:45:00,229.56,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:50:00,247.44146551724137,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
dgxanode02, 00000000:07:00.0,2026-02-08 22:55:00,237.85542372881355,7,22,0,0,High spike cluster,0,Low usage / idle cluster,2,Medium usage cluster
