hostname,pci_bus_id,timestamp,power_watts,day_num,hour,encoded_pci_bus_id,global_cluster,global_cluster_label,node_cluster,node_cluster_label,gpu_cluster,gpu_cluster_label
dgxanode01, 00000000:87:00.0,2026-02-06 15:35:00,169.21881355932203,4,15,8,1,High spike cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 15:40:00,171.7935593220339,4,15,8,1,High spike cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 16:40:00,172.8637288135593,5,16,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 16:45:00,174.25593220338985,5,16,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 16:50:00,177.03898305084743,5,16,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 16:55:00,170.50982758620688,5,16,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:00:00,170.87254237288136,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:05:00,182.77896551724135,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:10:00,174.91245762711867,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:15:00,174.2842372881356,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:20:00,173.88939655172413,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:25:00,174.33881355932203,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:30:00,176.4835593220339,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:35:00,169.85620689655173,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:40:00,182.09720338983053,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:45:00,182.87559322033897,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
dgxanode01, 00000000:87:00.0,2026-02-06 17:50:00,183.5675,5,17,8,0,Low usage / idle cluster,2,Medium usage cluster,0,Low usage / idle cluster
