hostname,timestamp,power_watts
dgxanode01,2026-02-02 15:50:00,58245.46
dgxanode01,2026-02-02 15:55:00,122188.37
dgxanode01,2026-02-02 16:00:00,123216.43
dgxanode01,2026-02-02 16:05:00,121280.0
dgxanode01,2026-02-02 16:10:00,123289.16
dgxanode01,2026-02-02 16:15:00,124748.09999999999
dgxanode01,2026-02-02 16:20:00,126958.72
dgxanode01,2026-02-02 16:25:00,125103.2
dgxanode01,2026-02-02 16:30:00,122235.41
dgxanode01,2026-02-02 16:35:00,122759.89
dgxanode01,2026-02-02 16:40:00,121465.33
dgxanode01,2026-02-02 16:45:00,121012.06999999999
dgxanode01,2026-02-02 16:50:00,121590.45999999999
dgxanode01,2026-02-02 16:55:00,121141.06999999999
dgxanode01,2026-02-02 17:00:00,121401.09999999999
dgxanode01,2026-02-02 17:05:00,120842.51
dgxanode01,2026-02-02 17:10:00,121193.43
dgxanode01,2026-02-02 17:15:00,121524.78
dgxanode01,2026-02-02 17:20:00,121103.55
dgxanode01,2026-02-02 17:25:00,110815.84
dgxanode01,2026-02-02 17:30:00,81133.88
dgxanode01,2026-02-02 17:35:00,80281.31999999999
dgxanode01,2026-02-02 17:40:00,80979.88
dgxanode01,2026-02-02 17:45:00,80951.51
dgxanode01,2026-02-02 17:50:00,80964.06
dgxanode01,2026-02-02 17:55:00,80872.26
dgxanode01,2026-02-02 18:00:00,80888.44
dgxanode01,2026-02-02 18:05:00,80977.49
dgxanode01,2026-02-02 18:10:00,81148.08
dgxanode01,2026-02-02 18:15:00,81229.11
dgxanode01,2026-02-02 18:20:00,81197.99
dgxanode01,2026-02-02 18:25:00,81172.42
dgxanode01,2026-02-02 18:30:00,81290.59
dgxanode01,2026-02-02 18:35:00,81304.61
dgxanode01,2026-02-02 18:40:00,81326.22
dgxanode01,2026-02-02 18:45:00,80637.24
dgxanode01,2026-02-02 18:50:00,81216.13
dgxanode01,2026-02-02 18:55:00,81173.34999999999
dgxanode01,2026-02-02 19:00:00,81755.20999999999
dgxanode01,2026-02-02 19:05:00,81081.53
dgxanode01,2026-02-02 19:10:00,81224.22
dgxanode01,2026-02-02 19:15:00,81207.23
dgxanode01,2026-02-02 19:20:00,81172.95
dgxanode01,2026-02-02 19:25:00,81223.22
dgxanode01,2026-02-02 19:30:00,81226.77
dgxanode01,2026-02-02 19:35:00,80597.85
dgxanode01,2026-02-02 19:40:00,81959.58
dgxanode01,2026-02-02 19:45:00,80445.0
dgxanode01,2026-02-02 19:50:00,81854.77
dgxanode01,2026-02-02 19:55:00,80556.63
dgxanode01,2026-02-02 20:00:00,81941.89
dgxanode01,2026-02-02 20:05:00,80499.13
dgxanode01,2026-02-02 20:10:00,81878.16
dgxanode01,2026-02-02 20:15:00,81227.77
dgxanode01,2026-02-02 20:20:00,80542.36
dgxanode01,2026-02-02 20:25:00,81224.86
dgxanode01,2026-02-02 20:30:00,81222.5
dgxanode01,2026-02-02 20:35:00,81929.87
dgxanode01,2026-02-02 20:40:00,80647.94
dgxanode01,2026-02-02 20:45:00,81922.13
dgxanode01,2026-02-02 20:50:00,80534.14
dgxanode01,2026-02-02 20:55:00,81816.9
dgxanode01,2026-02-02 21:00:00,80397.05
dgxanode01,2026-02-02 21:05:00,81835.99
dgxanode01,2026-02-02 21:10:00,80487.89
dgxanode01,2026-02-02 21:15:00,81866.23999999999
dgxanode01,2026-02-02 21:20:00,80391.59999999999
dgxanode01,2026-02-02 21:25:00,81818.52
dgxanode01,2026-02-02 21:30:00,80547.44
dgxanode01,2026-02-02 21:35:00,80495.19
dgxanode01,2026-02-02 21:40:00,81891.03
dgxanode01,2026-02-02 21:45:00,80527.95999999999
dgxanode01,2026-02-02 21:50:00,81395.02
dgxanode01,2026-02-02 21:55:00,81969.86
dgxanode01,2026-02-02 22:00:00,80584.2
dgxanode01,2026-02-02 22:05:00,80634.65
dgxanode01,2026-02-02 22:10:00,82019.24
dgxanode01,2026-02-02 22:15:00,81501.99
dgxanode01,2026-02-02 22:20:00,81992.53
dgxanode01,2026-02-02 22:25:00,82230.35
dgxanode01,2026-02-02 22:30:00,83246.49
dgxanode01,2026-02-02 22:35:00,81439.79
dgxanode01,2026-02-02 22:40:00,81888.71
dgxanode01,2026-02-02 22:45:00,81621.24
dgxanode01,2026-02-02 22:50:00,82397.06999999999
dgxanode01,2026-02-02 22:55:00,81674.52
dgxanode01,2026-02-02 23:00:00,81236.36
dgxanode01,2026-02-02 23:05:00,82077.73
dgxanode01,2026-02-02 23:10:00,81820.35
dgxanode01,2026-02-02 23:15:00,82520.28
dgxanode01,2026-02-02 23:20:00,81174.31
dgxanode01,2026-02-02 23:25:00,80153.95
dgxanode01,2026-02-02 23:30:00,81110.53
dgxanode01,2026-02-02 23:35:00,81096.88
dgxanode01,2026-02-02 23:40:00,81823.47
dgxanode01,2026-02-02 23:45:00,80623.01
dgxanode01,2026-02-02 23:50:00,82735.12
dgxanode01,2026-02-02 23:55:00,83481.15
dgxanode01,2026-02-03 00:00:00,80714.79
dgxanode01,2026-02-03 00:05:00,81809.81999999999
dgxanode01,2026-02-03 00:10:00,82644.56
dgxanode01,2026-02-03 00:15:00,81586.31
dgxanode01,2026-02-03 00:20:00,81328.24
dgxanode01,2026-02-03 00:25:00,81280.83
dgxanode01,2026-02-03 00:30:00,81953.26
dgxanode01,2026-02-03 00:35:00,81851.12
dgxanode01,2026-02-03 00:40:00,82484.31999999999
dgxanode01,2026-02-03 00:45:00,81099.05
dgxanode01,2026-02-03 00:50:00,81960.95
dgxanode01,2026-02-03 00:55:00,82296.83
dgxanode01,2026-02-03 01:00:00,80316.89
dgxanode01,2026-02-03 01:05:00,82224.67
dgxanode01,2026-02-03 01:10:00,81375.52
dgxanode01,2026-02-03 01:15:00,80288.71
dgxanode01,2026-02-03 01:20:00,81577.3
dgxanode01,2026-02-03 01:25:00,82758.88
dgxanode01,2026-02-03 01:30:00,82147.78
dgxanode01,2026-02-03 01:35:00,82371.77
dgxanode01,2026-02-03 01:40:00,83351.3
dgxanode01,2026-02-03 01:45:00,83566.68
dgxanode01,2026-02-03 01:50:00,83591.3
dgxanode01,2026-02-03 01:55:00,84315.87
dgxanode01,2026-02-03 02:00:00,84127.18
dgxanode01,2026-02-03 02:05:00,85053.4
dgxanode01,2026-02-03 02:10:00,84743.23
dgxanode01,2026-02-03 02:15:00,84929.66
dgxanode01,2026-02-03 02:20:00,84938.06
dgxanode01,2026-02-03 02:25:00,83556.48
dgxanode01,2026-02-03 02:30:00,86480.63
dgxanode01,2026-02-03 02:35:00,85374.52
dgxanode01,2026-02-03 02:40:00,83732.70999999999
dgxanode01,2026-02-03 02:45:00,84363.98
dgxanode01,2026-02-03 02:50:00,84079.93000000001
dgxanode01,2026-02-03 02:55:00,84334.56
dgxanode01,2026-02-03 03:00:00,82966.55
dgxanode01,2026-02-03 03:05:00,84587.34999999999
dgxanode01,2026-02-03 03:10:00,85625.16
dgxanode01,2026-02-03 03:15:00,83714.51
dgxanode01,2026-02-03 03:20:00,85665.22
dgxanode01,2026-02-03 03:25:00,84953.58
dgxanode01,2026-02-03 03:30:00,85190.37
dgxanode01,2026-02-03 03:35:00,83490.56999999999
dgxanode01,2026-02-03 03:40:00,84256.56
dgxanode01,2026-02-03 03:45:00,85981.34
dgxanode01,2026-02-03 03:50:00,85379.86
dgxanode01,2026-02-03 03:55:00,85063.8
dgxanode01,2026-02-03 04:00:00,84556.7
dgxanode01,2026-02-03 04:05:00,85846.08
dgxanode01,2026-02-03 04:10:00,85398.95999999999
dgxanode01,2026-02-03 04:15:00,85091.16
dgxanode01,2026-02-03 04:20:00,85518.46
dgxanode01,2026-02-03 04:25:00,84103.84
dgxanode01,2026-02-03 04:30:00,85464.63
dgxanode01,2026-02-03 04:35:00,85723.27
dgxanode01,2026-02-03 04:40:00,85530.44
dgxanode01,2026-02-03 04:45:00,85837.98999999999
dgxanode01,2026-02-03 04:50:00,84242.12
dgxanode01,2026-02-03 04:55:00,84791.5
dgxanode01,2026-02-03 05:00:00,85670.43
dgxanode01,2026-02-03 05:05:00,85491.26
dgxanode01,2026-02-03 05:10:00,85576.48999999999
dgxanode01,2026-02-03 05:15:00,85978.75
dgxanode01,2026-02-03 05:20:00,85324.89
dgxanode01,2026-02-03 05:25:00,85181.38
dgxanode01,2026-02-03 05:30:00,83674.0
dgxanode01,2026-02-03 05:35:00,85074.3
dgxanode01,2026-02-03 05:40:00,86048.18
dgxanode01,2026-02-03 05:45:00,84915.54
dgxanode01,2026-02-03 05:50:00,84038.2
dgxanode01,2026-02-03 05:55:00,86340.67
dgxanode01,2026-02-03 06:00:00,85928.7
dgxanode01,2026-02-03 06:05:00,85288.31
dgxanode01,2026-02-03 06:10:00,85658.85
dgxanode01,2026-02-03 06:15:00,85332.7
dgxanode01,2026-02-03 06:20:00,84391.67
dgxanode01,2026-02-03 06:25:00,86742.29
dgxanode01,2026-02-03 06:30:00,85484.01
dgxanode01,2026-02-03 06:35:00,85051.06
dgxanode01,2026-02-03 06:40:00,84481.57
dgxanode01,2026-02-03 06:45:00,85582.91
dgxanode01,2026-02-03 06:50:00,85767.73
dgxanode01,2026-02-03 06:55:00,85876.02
dgxanode01,2026-02-03 07:00:00,84746.22
dgxanode01,2026-02-03 07:05:00,85670.31
dgxanode01,2026-02-03 07:10:00,85597.45
dgxanode01,2026-02-03 07:15:00,85712.43
dgxanode01,2026-02-03 07:20:00,85950.06
dgxanode01,2026-02-03 07:25:00,84941.13
dgxanode01,2026-02-03 07:30:00,86847.7
dgxanode01,2026-02-03 07:35:00,85413.2
dgxanode01,2026-02-03 07:40:00,85590.63
dgxanode01,2026-02-03 07:45:00,86189.06
dgxanode01,2026-02-03 07:50:00,86326.18
dgxanode01,2026-02-03 07:55:00,85366.26
dgxanode01,2026-02-03 08:00:00,86954.45
dgxanode01,2026-02-03 08:05:00,84650.13
dgxanode01,2026-02-03 08:10:00,85787.52
dgxanode01,2026-02-03 08:15:00,86144.17
dgxanode01,2026-02-03 08:20:00,86487.31
dgxanode01,2026-02-03 08:25:00,86702.27
dgxanode01,2026-02-03 08:30:00,85953.78
dgxanode01,2026-02-03 08:35:00,86761.73999999999
dgxanode01,2026-02-03 08:40:00,85732.39
dgxanode01,2026-02-03 08:45:00,86179.17
dgxanode01,2026-02-03 08:50:00,86485.64
dgxanode01,2026-02-03 08:55:00,86287.65
dgxanode01,2026-02-03 09:00:00,85401.81999999999
dgxanode01,2026-02-03 09:05:00,85541.2
dgxanode01,2026-02-03 09:10:00,87173.68
dgxanode01,2026-02-03 09:15:00,86170.92
dgxanode01,2026-02-03 09:20:00,86226.76
dgxanode01,2026-02-03 09:25:00,86024.34
dgxanode01,2026-02-03 09:30:00,85121.97
dgxanode01,2026-02-03 09:35:00,85371.31
dgxanode01,2026-02-03 09:40:00,85284.52
dgxanode01,2026-02-03 09:45:00,83811.28
dgxanode01,2026-02-03 09:50:00,81899.77
dgxanode01,2026-02-03 09:55:00,82331.7
dgxanode01,2026-02-03 10:00:00,82441.95
dgxanode01,2026-02-03 10:05:00,81941.31999999999
dgxanode01,2026-02-03 10:10:00,80821.42
dgxanode01,2026-02-03 10:15:00,82876.9
dgxanode01,2026-02-03 10:20:00,86870.78
dgxanode01,2026-02-03 10:25:00,88256.36
dgxanode01,2026-02-03 10:30:00,86866.26
dgxanode01,2026-02-03 10:35:00,80574.20999999999
dgxanode01,2026-02-03 10:40:00,82237.61
dgxanode01,2026-02-03 10:45:00,85529.95
dgxanode01,2026-02-03 10:50:00,84755.94
dgxanode01,2026-02-03 10:55:00,83923.64
dgxanode01,2026-02-03 11:00:00,85725.12
dgxanode01,2026-02-03 11:05:00,85241.26
dgxanode01,2026-02-03 11:10:00,92096.24
dgxanode01,2026-02-03 11:15:00,91081.83
dgxanode01,2026-02-03 11:20:00,90985.87
dgxanode01,2026-02-03 11:25:00,91129.06
dgxanode01,2026-02-03 11:30:00,86814.84
dgxanode01,2026-02-03 11:35:00,83985.97
dgxanode01,2026-02-03 11:40:00,87171.56
dgxanode01,2026-02-03 11:45:00,88003.29
dgxanode01,2026-02-03 11:50:00,87257.12
dgxanode01,2026-02-03 11:55:00,83041.33
dgxanode01,2026-02-03 12:00:00,87254.59
dgxanode01,2026-02-03 12:05:00,90450.2
dgxanode01,2026-02-03 12:10:00,97871.09
dgxanode01,2026-02-03 12:15:00,96460.65
dgxanode01,2026-02-03 12:20:00,95912.31
dgxanode01,2026-02-03 12:25:00,96868.68
dgxanode01,2026-02-03 12:30:00,93901.7
dgxanode01,2026-02-03 12:35:00,89892.28
dgxanode01,2026-02-03 12:40:00,96779.84
dgxanode01,2026-02-03 12:45:00,96640.69
dgxanode01,2026-02-03 12:50:00,97347.48
dgxanode01,2026-02-03 12:55:00,97078.95
dgxanode01,2026-02-03 13:00:00,97192.6
dgxanode01,2026-02-03 13:05:00,95587.79
dgxanode01,2026-02-03 13:10:00,92391.5
dgxanode01,2026-02-03 13:15:00,86794.92
dgxanode01,2026-02-03 13:20:00,82055.17
dgxanode01,2026-02-03 13:25:00,82296.55
dgxanode01,2026-02-03 13:30:00,82122.53
dgxanode01,2026-02-03 13:35:00,82439.84
dgxanode01,2026-02-03 13:40:00,82688.67
dgxanode01,2026-02-03 13:45:00,82377.44
dgxanode01,2026-02-03 13:50:00,82461.4
dgxanode01,2026-02-03 13:55:00,83100.35
dgxanode01,2026-02-03 14:00:00,82271.67
dgxanode01,2026-02-03 14:05:00,81302.34
dgxanode01,2026-02-03 14:10:00,82963.27
dgxanode01,2026-02-03 14:15:00,81933.22
dgxanode01,2026-02-03 14:20:00,81924.81999999999
dgxanode01,2026-02-03 14:25:00,82587.74
dgxanode01,2026-02-03 14:30:00,83777.17
dgxanode01,2026-02-03 14:35:00,81566.85
dgxanode01,2026-02-03 14:40:00,82571.17
dgxanode01,2026-02-03 14:45:00,82409.44
dgxanode01,2026-02-03 14:50:00,82156.23
dgxanode01,2026-02-03 14:55:00,89792.73
dgxanode01,2026-02-03 15:00:00,89939.3
dgxanode01,2026-02-03 15:05:00,90307.69
dgxanode01,2026-02-03 15:10:00,89163.95
dgxanode01,2026-02-03 15:15:00,91280.1
dgxanode01,2026-02-03 15:20:00,91622.3
dgxanode01,2026-02-03 15:25:00,92220.26
dgxanode01,2026-02-03 15:30:00,90965.49
dgxanode01,2026-02-03 15:35:00,89101.76
dgxanode01,2026-02-03 15:40:00,89447.45999999999
dgxanode01,2026-02-03 15:45:00,87444.8
dgxanode01,2026-02-03 15:50:00,82702.34999999999
dgxanode01,2026-02-03 15:55:00,82968.25
dgxanode01,2026-02-03 16:00:00,80779.86
dgxanode01,2026-02-03 16:05:00,83117.20999999999
dgxanode01,2026-02-03 16:10:00,82563.19
dgxanode01,2026-02-03 16:15:00,82091.22
dgxanode01,2026-02-03 16:20:00,81735.5
dgxanode01,2026-02-03 16:25:00,82306.1
dgxanode01,2026-02-03 16:30:00,81625.52
dgxanode01,2026-02-03 16:35:00,82548.81
dgxanode01,2026-02-03 16:40:00,82742.1
dgxanode01,2026-02-03 16:45:00,84946.47
dgxanode01,2026-02-03 16:50:00,83695.06
dgxanode01,2026-02-03 16:55:00,83132.58
dgxanode01,2026-02-03 17:00:00,82612.48
dgxanode01,2026-02-03 17:05:00,80304.65
dgxanode01,2026-02-03 17:10:00,80742.73
dgxanode01,2026-02-03 17:15:00,79235.28
dgxanode01,2026-02-03 17:20:00,81232.17
dgxanode01,2026-02-03 17:25:00,81017.87
dgxanode01,2026-02-03 17:30:00,80134.09
dgxanode01,2026-02-03 17:35:00,80866.48
dgxanode01,2026-02-03 17:40:00,79487.11
dgxanode01,2026-02-03 17:45:00,80868.65
dgxanode01,2026-02-03 17:50:00,80850.91
dgxanode01,2026-02-03 17:55:00,79393.31
dgxanode01,2026-02-03 18:00:00,80777.04
dgxanode01,2026-02-03 18:05:00,80720.55
dgxanode01,2026-02-03 18:10:00,79385.76
dgxanode01,2026-02-03 18:15:00,80817.42
dgxanode01,2026-02-03 18:20:00,80865.44
dgxanode01,2026-02-03 18:25:00,79423.78
dgxanode01,2026-02-03 18:30:00,80763.45
dgxanode01,2026-02-03 18:35:00,79880.51
dgxanode01,2026-02-03 18:40:00,80751.3
dgxanode01,2026-02-03 18:45:00,81185.45
dgxanode01,2026-02-03 18:50:00,79398.27
dgxanode01,2026-02-03 18:55:00,80782.09999999999
dgxanode01,2026-02-03 19:00:00,80763.37
dgxanode01,2026-02-03 19:05:00,79355.09
dgxanode01,2026-02-03 19:10:00,80815.98000000001
dgxanode01,2026-02-03 19:15:00,79371.84
dgxanode01,2026-02-03 19:20:00,80790.39
dgxanode01,2026-02-03 19:25:00,79352.87
dgxanode01,2026-02-03 19:30:00,80770.67
dgxanode01,2026-02-03 19:35:00,80744.36
dgxanode01,2026-02-03 19:40:00,79357.45999999999
dgxanode01,2026-02-03 19:45:00,80781.34
dgxanode01,2026-02-03 19:50:00,79355.63
dgxanode01,2026-02-03 19:55:00,80832.93
dgxanode01,2026-02-03 20:00:00,80920.06999999999
dgxanode01,2026-02-03 20:05:00,79550.8
dgxanode01,2026-02-03 20:10:00,80764.59
dgxanode01,2026-02-03 20:15:00,79434.16
dgxanode01,2026-02-03 20:20:00,79359.22
dgxanode01,2026-02-03 20:25:00,80770.58
dgxanode01,2026-02-03 20:30:00,79361.45999999999
dgxanode01,2026-02-03 20:35:00,80744.14
